City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jaguaribe,BR,2021-08-12 13:32:54,-5.8906,-38.6219,91.26,39,18,6.69
1,Yellowknife,CA,2021-08-12 13:32:55,62.456,-114.3525,48.72,100,75,4.61
2,Husavik,IS,2021-08-12 13:32:55,66.0449,-17.3389,57.11,83,95,7.36
3,Mataura,NZ,2021-08-12 13:32:55,-46.1927,168.8643,45.48,98,23,2.37
4,Sergeyevka,KZ,2021-08-12 13:32:55,53.88,67.4158,64.44,45,0,13.65
5,Evensk,RU,2021-08-12 13:32:56,61.95,159.2333,47.53,95,90,2.95
6,Asau,RO,2021-08-12 13:32:56,46.4333,26.4,77.76,71,44,4.94
7,Hermanus,ZA,2021-08-12 13:32:56,-34.4187,19.2345,59.9,64,35,13.33
8,Port Alfred,ZA,2021-08-12 13:32:56,-33.5906,26.891,54.54,76,100,13.91
9,Rikitea,PF,2021-08-12 13:32:57,-23.1203,-134.9692,73.98,81,100,16.15
10,Ponta Do Sol,PT,2021-08-12 13:32:57,32.6667,-17.1,79.72,70,78,2.37
11,Pangkalanbuun,ID,2021-08-12 13:32:57,-2.6833,111.6167,75.67,97,100,1.88
12,Torbay,CA,2021-08-12 13:32:57,47.6666,-52.7314,60.28,91,75,6.91
13,Wembley,AU,2021-08-12 13:32:33,-31.9333,115.8,55.6,90,75,0.0
14,Parlakimidi,IN,2021-08-12 13:32:58,18.7667,84.0833,81.46,88,99,4.29
15,Morondava,MG,2021-08-12 13:32:59,-20.2833,44.2833,76.55,53,0,11.95
16,Saint-Philippe,RE,2021-08-12 13:32:59,-21.3585,55.7679,76.55,85,49,11.32
17,Faya,SA,2021-08-12 13:32:59,18.3851,42.4509,75.31,54,56,9.95
18,Albany,US,2021-08-12 13:32:59,42.6001,-73.9662,82.81,81,50,3.69
19,Ngunguru,NZ,2021-08-12 13:33:00,-35.6167,174.5,45.16,81,100,10.29
20,Minot,US,2021-08-12 13:33:00,48.2325,-101.2963,60.12,59,20,10.0
21,Aripuana,BR,2021-08-12 13:33:00,-9.1667,-60.6333,87.89,29,95,5.46
22,Hilo,US,2021-08-12 13:33:00,19.7297,-155.09,73.13,90,40,4.61
23,Nome,US,2021-08-12 13:33:00,64.5011,-165.4064,33.87,80,1,6.91
24,Cabo San Lucas,MX,2021-08-12 13:30:58,22.8909,-109.9124,77.61,80,90,2.28
25,Cape Town,ZA,2021-08-12 13:30:00,-33.9258,18.4232,60.12,60,40,1.99
26,Hammerfest,NO,2021-08-12 13:33:01,70.6634,23.6821,55.85,76,40,11.5
27,Koungou,YT,2021-08-12 13:33:01,-12.7336,45.2042,80.31,65,0,5.75
28,Quatre Cocos,MU,2021-08-12 13:33:02,-20.2078,57.7625,75.31,79,25,12.59
29,Xining,CN,2021-08-12 13:33:02,36.6167,101.7667,59.27,71,100,4.18
